
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        17        6       1.28155E-03   0.1471
        18        6       1.44932E-03   0.1931
        19        6       1.40952E-03   0.1572
        20        6       1.32176E-03   0.1399
        21        6       1.21000E-03   0.1777
        22        6       1.05830E-03   0.1313
        23        6       9.15749E-04   0.1540
        24        6       8.37891E-04   0.1952
        25        6       7.88514E-04   0.1628
        26        6       9.57358E-04   0.2491
        27        6       7.89515E-04   0.1801
        28        6       9.01438E-04   0.1797
        29        6       9.33487E-04   0.1916
        30        6       5.63023E-04   0.1942
        31        6       6.67821E-04   0.2059
        32        6       6.26737E-04   0.1923
         1        7       3.15990E-03   0.2275
         2        7       1.99128E-03   0.2019
         3        7       2.45572E-03   0.2392
         4        7       2.24782E-03   0.2949
         5        7       1.93960E-03   0.3078
         6        7       1.66378E-03   0.2886
         7        7       1.13470E-03   0.2873
         8        7       6.36220E-04   0.2960
         9        7       3.92583E-04   0.4402
        10        7       4.16877E-04   0.3982
        11        7       2.26877E-04   0.4460
        12        7       2.60439E-04   0.4156
        13        7       1.89190E-04   0.4605
        14        7       2.52321E-04   0.4653
        15        7       2.40607E-04   0.4822
        16        7       2.44962E-04   0.4855
        17        7       1.41160E-03   0.1056
        18        7       1.50853E-03   0.1247
        19        7       1.28388E-03   0.1286
        20        7       1.84556E-03   0.1830
        21        7       1.29802E-03   0.1657
        22        7       1.08978E-03   0.1745
        23        7       8.51109E-04   0.1576
        24        7       7.89468E-04   0.1462
        25        7       9.82424E-04   0.2571
        26        7       8.76647E-04   0.1683
        27        7       7.81699E-04   0.1787
        28        7       1.11172E-03   0.2051
        29        7       8.77831E-04   0.1836
        30        7       8.14265E-04   0.2298
        31        7       7.78161E-04   0.2220
        32        7       8.53268E-04   0.1931
         1        8       2.98577E-03   0.2207
         2        8       2.95991E-03   0.2086
         3        8       2.59600E-03   0.2638
         4        8       1.79601E-03   0.2394
         5        8       1.50532E-03   0.2238
         6        8       1.24882E-03   0.2585
         7        8       1.10110E-03   0.2382
         8        8       8.78709E-04   0.3222
         9        8       6.94852E-04   0.4067
        10        8       6.60066E-04   0.5860
        11        8       7.24199E-04   0.5811
        12        8       5.40946E-04   0.6915
        13        8       5.65639E-04   0.7263
        14        8       5.22272E-04   0.7574
        15        8       5.40775E-04   0.6766
        16        8       4.67677E-04   0.6594
        17        8       1.92269E-03   0.1623
        18        8       1.48508E-03   0.1361
        19        8       1.15635E-03   0.1365
        20        8       1.16775E-03   0.1406
        21        8       1.12068E-03   0.1574
        22        8       7.44331E-04   0.1202
        23        8       8.90470E-04   0.1556
        24        8       7.55762E-04   0.1686
        25        8       9.18819E-04   0.1715
        26        8       8.72903E-04   0.1773
        27        8       1.08520E-03   0.1703
        28        8       1.05059E-03   0.1632
        29        8       7.86032E-04   0.1675
        30        8       8.02192E-04   0.1833
        31        8       9.96868E-04   0.1843
        32        8       1.70115E-03   0.2820
         1        9       3.16411E-03   0.2227
         2        9       3.39986E-03   0.2566
         3        9       3.30765E-03   0.3230
         4        9       2.60359E-03   0.4079
         5        9       1.97327E-03   0.3746
         6        9       1.80193E-03   0.3627
         7        9       1.74220E-03   0.3332
         8        9       1.39374E-03   0.4099
         9        9       1.23879E-03   0.4400
        10        9       6.47502E-04   0.3674
        11        9       3.65950E-04   0.3454
        12        9       4.56524E-04   0.3636
        13        9       3.59227E-04   0.3972
        14        9       2.93547E-04   0.4039
        15        9       5.56290E-04   0.7639
        16        9       5.64999E-04   0.6658
        17        9       1.88749E-03   0.1147
        18        9       1.76819E-03   0.1401
        19        9       1.48377E-03   0.1950
        20        9       1.40636E-03   0.1395
        21        9       1.66876E-03   0.1662
        22        9       1.30985E-03   0.1754
        23        9       1.04730E-03   0.1477
        24        9       7.38778E-04   0.1349
        25        9       6.83735E-04   0.1778
        26        9       7.90062E-04   0.1861
        27        9       1.04705E-03   0.2929
        28        9       7.67868E-04   0.1708
        29        9       7.96067E-04   0.2071
        30        9       5.53869E-04   0.1640
        31        9       7.90872E-04   0.2066
        32        9       9.21066E-04   0.1725
         1       10       4.49772E-03   0.2123
         2       10       3.46041E-03   0.2336
         3       10       2.58258E-03   0.2435
         4       10       3.15703E-03   0.3641
         5       10       3.37520E-03   0.3562
         6       10       2.97752E-03   0.3395
         7       10       2.33694E-03   0.3042
         8       10       1.42652E-03   0.2909
         9       10       6.67823E-04   0.3013
        10       10       3.84506E-04   0.2873
        11       10       4.54494E-04   0.5127
        12       10       5.01412E-04   0.5626
        13       10       1.09919E-03   0.5290
        14       10       1.19645E-03   0.5717
        15       10       7.31289E-04   0.7080
        16       10       5.53863E-04   0.6350
        17       10       1.55706E-03   0.0962
        18       10       1.55390E-03   0.1462
        19       10       1.31972E-03   0.1279
        20       10       1.19320E-03   0.1414
        21       10       1.26294E-03   0.1415
        22       10       9.51743E-04   0.1289
        23       10       8.05517E-04   0.1243
        24       10       8.85408E-04   0.1364
        25       10       9.38248E-04   0.1497
        26       10       1.03998E-03   0.1630
        27       10       1.10112E-03   0.1455
        28       10       1.10761E-03   0.1866
        29       10       8.00237E-04   0.1902
        30       10       6.51600E-04   0.2066
        31       10       7.85083E-04   0.2094
        32       10       8.55821E-04   0.1647
         1       11       3.14507E-03   0.1966
         2       11       3.20655E-03   0.1708
         3       11       2.37793E-03   0.1832
         4       11       1.83184E-03   0.2299
         5       11       1.66364E-03   0.2391
         6       11       1.51315E-03   0.2072
         7       11       1.26890E-03   0.2407
         8       11       1.71565E-03   0.2724
         9       11       1.38373E-03   0.3474
        10       11       1.36693E-03   0.3909
        11       11       9.34569E-04   0.4691
        12       11       8.76072E-04   0.4856
        13       11       3.74024E-04   0.3748
        14       11       3.10597E-04   0.4909
        15       11       3.77888E-04   0.4240
        16       11       3.55355E-04   0.4242
        17       11       2.29853E-03   0.2049
        18       11       1.66837E-03   0.1252
        19       11       1.49031E-03   0.1641
        20       11       1.44189E-03   0.1674
        21       11       1.29646E-03   0.1460
        22       11       1.06811E-03   0.1698
        23       11       1.08700E-03   0.1718
        24       11       9.75015E-04   0.1651
        25       11       1.18222E-03   0.1653
        26       11       8.47817E-04   0.1706
        27       11       1.38954E-03   0.1688
        28       11       9.44922E-04   0.1661
        29       11       1.14328E-03   0.2665
        30       11       1.02000E-03   0.1969
        31       11       1.10215E-03   0.2361
        32       11       1.19878E-03   0.2790
         1       12       3.16650E-03   0.1832
         2       12       2.80146E-03   0.1652
         3       12       2.27833E-03   0.1823
         4       12       2.06660E-03   0.2134
         5       12       2.17316E-03   0.2110
         6       12       2.30013E-03   0.2146
         7       12       2.17003E-03   0.2106
         8       12       1.74559E-03   0.2532
         9       12       1.50919E-03   0.2738
        10       12       1.05774E-03   0.3833
        11       12       9.56021E-04   0.4209
        12       12       9.02735E-04   0.3956
        13       12       7.89810E-04   0.3766
        14       12       6.89933E-04   0.4164
        15       12       5.44585E-04   0.4617
        16       12       4.54194E-04   0.3911
        17       12       1.72509E-03   0.1676
        18       12       1.92339E-03   0.1481
        19       12       1.61552E-03   0.1564
        20       12       1.54649E-03   0.1774
        21       12       1.50868E-03   0.2176
        22       12       1.19658E-03   0.1573
        23       12       1.10062E-03   0.1576
        24       12       1.34962E-03   0.1884
        25       12       1.12186E-03   0.1654
        26       12       1.18487E-03   0.1769
        27       12       9.15416E-04   0.1342
        28       12       1.12089E-03   0.1566
        29       12       1.18172E-03   0.2930
        30       12       1.02433E-03   0.1931
        31       12       1.04979E-03   0.1547
        32       12       1.66421E-03   0.2291
         1       13       3.46660E-03   0.1668
         2       13       3.50361E-03   0.1703
         3       13       3.47061E-03   0.1694
         4       13       2.86588E-03   0.1855
         5       13       2.35937E-03   0.1955
         6       13       1.97165E-03   0.2082
         7       13       1.82814E-03   0.1993
         8       13       1.79092E-03   0.2723
         9       13       1.69187E-03   0.2955
        10       13       1.12840E-03   0.3559
        11       13       9.09192E-04   0.4895
        12       13       8.75591E-04   0.5081
        13       13       9.71187E-04   0.4855
        14       13       1.00299E-03   0.4826
        15       13       9.57332E-04   0.4774
        16       13       7.75267E-04   0.3147
        17       13       2.00186E-03   0.1320
        18       13       1.61740E-03   0.1514
        19       13       1.52682E-03   0.1409
        20       13       1.89436E-03   0.1965
        21       13       1.54839E-03   0.2057
        22       13       1.18488E-03   0.1772
        23       13       1.25798E-03   0.1468
        24       13       1.24895E-03   0.1380
        25       13       1.22800E-03   0.1716
        26       13       1.30289E-03   0.1950
        27       13       1.30397E-03   0.1668
        28       13       1.01036E-03   0.1679
        29       13       9.20818E-04   0.1844
        30       13       9.78605E-04   0.1969
        31       13       1.60433E-03   0.2710
        32       13       1.63200E-03   0.1806
         1       14       3.28905E-03   0.1536
         2       14       2.92508E-03   0.1495
         3       14       2.81658E-03   0.2224
         4       14       2.46126E-03   0.2280
         5       14       2.43955E-03   0.2186
         6       14       2.47103E-03   0.2260
         7       14       2.35231E-03   0.2651
         8       14       2.01346E-03   0.3109
         9       14       1.69935E-03   0.3355
        10       14       1.01528E-03   0.3504
        11       14       6.26802E-04   0.4319
        12       14       6.43215E-04   0.4505
        13       14       5.58924E-04   0.5619
        14       14       5.39778E-04   0.6484
        15       14       5.61679E-04   0.5729
        16       14       7.23387E-04   0.5139
        17       14       1.59631E-03   0.0957
        18       14       1.43448E-03   0.1274
        19       14       1.19025E-03   0.1290
        20       14       1.29576E-03   0.1479
        21       14       1.08525E-03   0.1260
        22       14       9.68581E-04   0.1273
        23       14       1.20834E-03   0.1326
        24       14       1.32558E-03   0.1543
        25       14       1.08202E-03   0.1558
        26       14       1.03010E-03   0.1297
        27       14       1.02452E-03   0.1544
        28       14       1.12086E-03   0.1806
        29       14       1.28189E-03   0.1886
        30       14       2.36253E-03   0.2249
        31       14       1.97239E-03   0.1781
        32       14       1.87031E-03   0.1683
         1       15       5.62397E-03   0.1571
         2       15       4.73114E-03   0.1721
         3       15       3.91929E-03   0.1855
         4       15       2.97817E-03   0.1867
         5       15       2.74164E-03   0.1908
         6       15       2.35175E-03   0.1972
         7       15       2.21304E-03   0.2039
         8       15       2.22527E-03   0.2242
         9       15       1.71317E-03   0.2407
        10       15       1.16701E-03   0.2353
        11       15       8.01327E-04   0.2845
        12       15       6.82567E-04   0.3069
        13       15       7.38654E-04   0.3169
        14       15       6.25732E-04   0.3608
        15       15       5.72676E-04   0.3716
        16       15       4.68635E-04   0.3936
        17       15       1.84189E-03   0.1118
        18       15       1.82428E-03   0.1229
        19       15       1.52650E-03   0.1531
        20       15       1.93022E-03   0.1330
        21       15       1.39266E-03   0.1381
        22       15       1.61395E-03   0.1933
        23       15       1.59558E-03   0.1417
