zone      T(1)         N(1)        T(2)        N(2)      V1(2)        V2(2)       V3(2)       
1  76.94599901601643  7.904181728728766e+18  155.7549476064962  7.904181728728766e+18  0.0  1830.1301909017138  0.0
2  88.6611330924962  8.969193917499654e+18  178.23853825832603  8.969193917499654e+18  0.0  1039.5108080257553  0.0
3  74.87967834457001  7.71633439496091e+18  151.789281671397  7.71633439496091e+18  0.0  1786.4868845388698  0.0
4  88.71774653199246  8.974340593817497e+18  178.34719031392493  8.974340593817497e+18  0.0  1034.4816061406834  0.0
5  89.17039360781766  9.015490327983423e+18  179.2159069240945  9.015490327983423e+18  0.0  1043.890868764581  0.0
6  89.81967440187279  9.074515854715708e+18  180.46200137733163  9.074515854715708e+18  0.0  1053.2809820884513  0.0
7  65.50120500903583  6.863745909912349e+18  133.79019143148292  6.863745909912349e+18  0.0  2180.3404390020037  0.0
8  87.58990847396545  8.871809861269586e+18  176.18265262680237  8.871809861269586e+18  0.0  1026.7956879738842  0.0
9  88.5278840007973  8.957080363708845e+18  177.98280767829783  8.957080363708845e+18  0.0  1036.2063759477683  0.0
10  88.38088615212554  8.943716922920503e+18  177.7006905949884  8.943716922920503e+18  0.0  1036.220375947768  0.0
11  64.3550369859057  6.759548816900518e+18  131.59047502345538  6.759548816900518e+18  0.0  2050.388871849727  0.0
12  87.58319934789091  8.871199940717356e+18  176.1697765262553  8.871199940717356e+18  0.0  1026.806687973884  0.0
13  87.5707243017804  8.8700658456164e+18  176.14583451856845  8.8700658456164e+18  0.0  1026.8046879738838  0.0
14  87.9856176306811  8.907783420971009e+18  176.9420944427213  8.907783420971009e+18  0.0  1026.8235959572312  0.0
15  90.2761640623164  9.116014914756037e+18  181.33809264484967  9.116014914756037e+18  0.0  1039.562993029704  0.0
16  90.25100580698725  9.113727800635205e+18  181.28980912452099  9.113727800635205e+18  0.0  1030.15330505582  0.0
17  90.8613926078639  9.16921750980581e+18  182.4612585403449  9.16921750980581e+18  0.0  1026.8806879738838  0.0
18  90.32240809189975  9.120218917445431e+18  181.4268438127369  9.120218917445431e+18  0.0  1061.8408114502633  0.0
19  90.53765080323512  9.139786436657739e+18  181.83993588499672  9.139786436657739e+18  0.0  1039.5684182380764  0.0
20  89.81805568461218  9.074368698601106e+18  180.4588947482456  9.074368698601106e+18  0.0  1026.863687973884  0.0
21  89.86553090792671  9.078684627993338e+18  180.55000881319268  9.078684627993338e+18  0.0  1053.3149820884514  0.0
22  89.10199480247586  9.009272254770532e+18  179.08463648960014  9.009272254770532e+18  0.0  1036.253375947768  0.0
23  88.75930297706958  8.978118452460872e+18  178.4269451075073  8.978118452460872e+18  0.0  1026.8426879738838  0.0
24  85.75483947366993  8.704985406697267e+18  172.66080303027564  8.704985406697267e+18  0.0  1409.1729413768187  0.0
25  90.0695584777779  9.097232588888901e+18  180.94157687654345  9.097232588888901e+18  0.0  1047.4458337287367  0.0
26  89.5170363753272  9.047003306847927e+18  179.88118092234512  9.047003306847927e+18  0.0  1030.3832275880534  0.0
27  88.57449998621783  8.961318180565257e+18  178.07227270082208  8.961318180565257e+18  0.0  1026.838687973884  0.0
28  86.95458540895088  8.814053218995535e+18  174.96334573435018  8.814053218995535e+18  0.0  1400.4591241909395  0.0
29  84.58989043320702  8.599080948473364e+18  170.4250422455488  8.599080948473364e+18  0.0  1441.261027903831  0.0
30  89.42792042299129  9.038901856635572e+18  179.71015030675096  9.038901856635572e+18  0.0  1029.5839274251246  0.0
31  89.36366220537697  9.033060200488816e+18  179.5868264547639  9.033060200488816e+18  0.0  1029.5859274251247  0.0
32  88.45276638295155  8.950251489359231e+18  177.83864255313932  8.950251489359231e+18  0.0  1026.7491131822565  0.0
33  90.0233528484183  9.093032077128936e+18  180.85289940605531  9.093032077128936e+18  0.0  1036.154375947768  0.0
34  88.56300088456997  8.960272807688179e+18  178.05020371786156  8.960272807688179e+18  0.0  1026.7446879738839  0.0
35  88.68140308222219  8.971036643838381e+18  178.27744025881026  8.971036643838381e+18  0.0  1026.7406879738842  0.0
36  88.7232222500877  8.97483838637161e+18  178.35769926784508  8.97483838637161e+18  0.0  1022.2550417150211  0.0
37  92.28873332759194  9.298975757053813e+18  185.20059931558052  9.298975757053813e+18  0.0  1044.9664084940205  0.0
38  91.88132391724756  9.261938537931596e+18  184.4187024674448  9.261938537931596e+18  0.0  1041.6995484649003  0.0
39  89.44927630241497  9.040843300219543e+18  179.75113633796812  9.040843300219543e+18  0.0  1028.1834907144294  0.0
40  75.86490732990436  7.805900666354942e+18  153.68012517860433  7.805900666354942e+18  0.0  2313.16990050656  0.0
41  89.50001865382264  9.045456241256604e+18  179.8485206487505  9.045456241256604e+18  0.0  1028.1814907144294  0.0
42  89.56484646423827  9.051349678567116e+18  179.97293765863913  9.051349678567116e+18  0.0  1029.6666113260644  0.0
43  88.30502202244959  8.936820183859054e+18  177.5550927703578  8.936820183859054e+18  0.0  1026.755687973884  0.0
44  87.96032362168701  8.905483965607909e+18  176.89355038505587  8.905483965607909e+18  0.0  1026.7726879738839  0.0
45  88.98747573800847  8.998861430728042e+18  178.8648524264809  8.998861430728042e+18  0.0  1036.1890426144344  0.0
46  87.72869073493767  8.88442643044888e+18  176.44900242058745  8.88442643044888e+18  0.0  1026.785687973884  0.0
47  87.80331480485228  8.891210436804752e+18  176.59222033254477  8.891210436804752e+18  0.0  1026.7816879738841  0.0
48  88.81004951690883  8.98273177426444e+18  178.52433745669373  8.98273177426444e+18  0.0  1036.1953759477678  0.0
49  254.68007042220233  1.1406182458383647e+19  353.1176454684428  1.1406182458383647e+19  0.0  1126.9279982828095  0.0
50  80.19620993140437  8.199655448309488e+18  161.99272613097807  8.199655448309488e+18  0.0  2172.6230039010757  0.0
51  97.7139003465077  9.792172758773426e+18  195.61253601855012  9.792172758773426e+18  0.0  2270.556551347994  0.0
52  90.64781895866439  9.149801723514945e+18  182.05136971864883  9.149801723514945e+18  0.0  1047.1127261925544  0.0
53  89.40295909092711  9.036632644629737e+18  179.6622447199611  9.036632644629737e+18  0.0  1026.0166740788152  0.0
54  89.42178766296135  9.038344332996486e+18  179.69838036325916  9.038344332996486e+18  0.0  1026.0376740788151  0.0
55  92.41382300265491  9.3103475456959e+18  185.44067040913566  9.3103475456959e+18  0.0  1044.9670540765678  0.0
