
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        17        6       2.42864E-03   0.1690
        18        6       1.80514E-03   0.1431
        19        6       1.95834E-03   0.1781
        20        6       1.81658E-03   0.1735
        21        6       1.05169E-03   0.1530
        22        6       9.21104E-04   0.1716
        23        6       8.77355E-04   0.1498
        24        6       6.80696E-04   0.1292
        25        6       6.29330E-04   0.1603
        26        6       6.78834E-04   0.1622
        27        6       8.62072E-04   0.1481
        28        6       9.11157E-04   0.1638
        29        6       6.60484E-04   0.1955
        30        6       6.93755E-04   0.2283
        31        6       6.55716E-04   0.1726
        32        6       6.98008E-04   0.2145
         1        7       7.13639E-03   0.1787
         2        7       6.01830E-03   0.1931
         3        7       5.92276E-03   0.2497
         4        7       5.89684E-03   0.3058
         5        7       5.59532E-03   0.2937
         6        7       4.85891E-03   0.2662
         7        7       4.56491E-03   0.2522
         8        7       3.32260E-03   0.2834
         9        7       2.33998E-03   0.3394
        10        7       1.98453E-03   0.2992
        11        7       1.69179E-03   0.3217
        12        7       1.40287E-03   0.3386
        13        7       8.96759E-04   0.3922
        14        7       5.28098E-04   0.5439
        15        7       3.42704E-04   0.6139
        16        7       1.42914E-04   0.3659
        17        7       2.49233E-03   0.1225
        18        7       2.34584E-03   0.1679
        19        7       2.03486E-03   0.1447
        20        7       1.85258E-03   0.2339
        21        7       1.55631E-03   0.2267
        22        7       1.41228E-03   0.2045
        23        7       9.53695E-04   0.1806
        24        7       1.05793E-03   0.1511
        25        7       8.48460E-04   0.1658
        26        7       7.36606E-04   0.1558
        27        7       7.73710E-04   0.1468
        28        7       8.14292E-04   0.1666
        29        7       5.42938E-04   0.1435
        30        7       4.86174E-04   0.1507
        31        7       5.79485E-04   0.1909
        32        7       3.98952E-04   0.1601
         1        8       6.33974E-03   0.1840
         2        8       5.90972E-03   0.1754
         3        8       6.35539E-03   0.1806
         4        8       5.08163E-03   0.1998
         5        8       4.13837E-03   0.2013
         6        8       3.89820E-03   0.2519
         7        8       2.80042E-03   0.2434
         8        8       2.15073E-03   0.2388
         9        8       1.65098E-03   0.2735
        10        8       1.03101E-03   0.3838
        11        8       5.53247E-04   0.6147
        12        8       5.29603E-04   0.5172
        13        8       3.83176E-04   0.4146
        14        8       2.16763E-04   0.3381
        15        8       2.17755E-04   0.4164
        16        8       2.29856E-04   0.4391
        17        8       1.78502E-03   0.1275
        18        8       1.58221E-03   0.1524
        19        8       1.80076E-03   0.1911
        20        8       1.38189E-03   0.1496
        21        8       2.13076E-03   0.3513
        22        8       1.53662E-03   0.1898
        23        8       1.02461E-03   0.1447
        24        8       9.44023E-04   0.1837
        25        8       9.89461E-04   0.1951
