zone      T(1)         N(1)        T(2)        N(2)      V1(2)        V2(2)       V3(2)       
112  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9309.282950731027  0.0
113  24.46178557674342  8.002929060895899e+18  185.14693466459102  8.002929060895899e+18  0.0  8936.525663092558  0.0
114  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9500.5911912499  0.0
115  26.09627424548795  7.937466703652138e+18  178.9350968835372  7.937466703652138e+18  0.0  8068.396781467226  0.0
116  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8966.865022404645  0.0
117  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9709.302403809495  0.0
118  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9587.581894457113  0.0
119  23.99416641271942  8.022367911596942e+18  186.97525749188026  8.022367911596942e+18  0.0  9069.716717354995  0.0
120  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6652.22602851604  0.0
121  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  14437.245377287503  0.0
122  26.61868865377845  7.918738686854204e+18  177.1077094398728  7.918738686854204e+18  0.0  7939.55303729954  0.0
123  22.335625126492506  8.101133212133853e+18  194.16693162873332  8.101133212133853e+18  0.0  9765.770569989867  0.0
124  18.635829981686616  8.339837312565887e+18  214.7455053656494  8.339837312565887e+18  0.0  11928.076850872387  0.0
125  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6678.816002440036  0.0
126  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6678.4779451586555  0.0
127  26.22071529830236  7.933005620476643e+18  178.49980640574665  7.933005620476643e+18  0.0  8087.302509169296  0.0
128  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6679.503136515084  0.0
129  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6679.915875553908  0.0
130  24.951180838393665  7.982584981446389e+18  183.2334704670535  7.982584981446389e+18  0.0  8606.460034052177  0.0
131  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  14094.240756530295  0.0
132  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  14030.86522542939  0.0
133  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6679.77922021425  0.0
134  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6678.064408992051  0.0
135  20.19268560795019  8.222769413178513e+18  204.88936872612663  8.222769413178513e+18  0.0  10945.696065939372  0.0
136  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  13594.494690558256  0.0
137  26.969035886686818  7.906179100520268e+18  175.88220699549285  7.906179100520268e+18  0.0  7869.869230939695  0.0
138  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.764180707593  0.0
139  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6682.033921239284  0.0
140  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.627525367934  0.0
141  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6682.170576578941  0.0
142  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6683.0651153512945  0.0
143  28.191263112454394  7.86410368940985e+18  171.73218714254236  7.86410368940985e+18  0.0  7378.389354093733  0.0
144  25.875457361466413  1.0044722196287914e+19  330.8552011697922  1.0044722196287914e+19  0.0  33164.714445344805  0.0
145  30.335604978803836  1.0318595320312666e+19  346.4838507448693  1.0318595320312666e+19  0.0  31759.296066882736  0.0
146  29.43490153046972  7.825199021084747e+18  167.79082133165096  7.825199021084747e+18  0.0  6980.717245400585  0.0
147  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6683.201770690954  0.0
148  16.9330917607974  9.219487738235069e+18  279.63962454199935  9.219487738235069e+18  0.0  27535.64265014386  0.0
149  26.992451853952787  7.905339662286295e+18  175.80029875581945  7.905339662286295e+18  0.0  16044.669516535214  0.0
150  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6684.227506829003  0.0
151  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6705.630923483412  0.0
152  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6705.90423416273  0.0
153  29.286959438701164  7.829827084940126e+18  168.25968261322737  7.829827084940126e+18  0.0  7033.497300449965  0.0
154  31.717145133878688  1.0395209074893683e+19  350.73311023233805  1.0395209074893683e+19  0.0  30966.06528821107  0.0
155  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6705.767578823071  0.0
156  43.6214259527459  1.0980678641086953e+19  381.9782696527945  1.0980678641086953e+19  0.0  25039.752296560655  0.0
157  46.81682205632827  1.111997239603072e+19  389.0857293479249  1.111997239603072e+19  0.0  25577.389339901423  0.0
158  37.62540053319941  1.070017684193879e+19  367.27373859822455  1.070017684193879e+19  0.0  24154.45747604772  0.0
159  33.24195150642823  1.0477115073029298e+19  355.2320371609485  1.0477115073029298e+19  0.0  23406.08455670412  0.0
160  27.98440387612277  1.0179420770479307e+19  338.6194576674744  1.0179420770479307e+19  0.0  22270.778773653852  0.0
161  25.68267664290955  1.00319572301985e+19  330.11291725680854  1.00319572301985e+19  0.0  21651.10013062892  0.0
162  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6685.459837493888  0.0
163  25.892603560245444  7.944768087293049e+18  179.64752986193184  7.944768087293049e+18  0.0  8239.545423726884  0.0
164  25.72375113618009  7.9508212722437e+18  180.238169772839  7.9508212722437e+18  0.0  8357.336638777906  0.0
165  26.4474138504169  7.924878711599912e+18  177.70682274936814  7.924878711599912e+18  0.0  7945.487572197918  0.0
166  21.20516995058835  8.162794892003217e+18  199.64297090317046  8.162794892003217e+18  0.0  10366.249738898721  0.0
167  36.1463975826976  1.0627226803153805e+19  363.3770912967519  1.0627226803153805e+19  0.0  27475.013715500427  0.0
168  24.556877063441117  9.9574124647107e+18  325.7781325162033  9.9574124647107e+18  0.0  30326.58162717737  0.0
169  23.294482578920793  8.054199965869997e+18  189.90864786555647  8.054199965869997e+18  0.0  9228.988094078506  0.0
170  16.133165602144786  9.034103211843075e+18  267.0258260631153  9.034103211843075e+18  0.0  16743.911543904967  0.0
171  21.299591986378495  8.157240824755031e+18  199.15651309402597  8.157240824755031e+18  0.0  10163.132349134965  0.0
172  15.873170778223086  8.89960172321671e+18  257.5804170973012  8.89960172321671e+18  0.0  15656.424562877668  0.0
173  19.84052203310668  9.57805249399166e+18  302.78959426378805  9.57805249399166e+18  0.0  19721.32527342312  0.0
174  15.883921117957792  8.786540117358595e+18  249.4303795278615  8.786540117358595e+18  0.0  14922.887488019673  0.0
175  17.933045405862433  8.405711024166836e+18  220.13266136631358  8.405711024166836e+18  0.0  12370.940634062312  0.0
176  30.541550031446338  1.0330785817314068e+19  347.1727041332411  1.0330785817314068e+19  0.0  31195.969235983674  0.0
177  27.242402466467507  7.896379191067389e+18  174.9259802002875  7.896379191067389e+18  0.0  7794.328800938874  0.0
178  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6680.1858204553255  0.0
179  30.876351571761198  1.0350045284152115e+19  348.2523566979153  1.0350045284152115e+19  0.0  23163.359129751076  0.0
180  16.974328468314255  9.227818198369028e+18  280.20158806921745  9.227818198369028e+18  0.0  17959.904844340934  0.0
181  36.10690210809284  1.0625278736448954e+19  363.2730347534659  1.0625278736448954e+19  0.0  24114.065153047282  0.0
182  32.85822186096275  1.0456502777467126e+19  354.09984643406676  1.0456502777467126e+19  0.0  23870.41260008313  0.0
183  35.20780662083683  1.0580931934676531e+19  360.90423758305207  1.0580931934676531e+19  0.0  24931.870729631148  0.0
184  31.88006037930703  1.0403960176691614e+19  351.2137901389371  1.0403960176691614e+19  0.0  23889.6623472041  0.0
185  35.690255154368145  1.0604728127389282e+19  362.1753180603739  1.0604728127389282e+19  0.0  25217.359836129723  0.0
186  42.330782805992015  1.0921665494839667e+19  378.91096149811415  1.0921665494839667e+19  0.0  24998.492602843286  0.0
187  40.02615982962417  1.0816289308485356e+19  373.4338558654255  1.0816289308485356e+19  0.0  24702.812905286322  0.0
188  35.11603396541668  1.0576405359006056e+19  360.66244924181143  1.0576405359006056e+19  0.0  26060.022198464943  0.0
189  37.629231718427036  1.0700365810534732e+19  367.28383241012233  1.0700365810534732e+19  0.0  26503.42218624162  0.0
190  37.21801556585326  1.0680083069199366e+19  366.2004239485605  1.0680083069199366e+19  0.0  26216.77879150448  0.0
191  33.80144425898499  1.050716860190535e+19  356.88281528999795  1.050716860190535e+19  0.0  25170.30316186902  0.0
192  37.321911686580265  1.0685207620191015e+19  366.47415331355404  1.0685207620191015e+19  0.0  26796.7695798645  0.0
193  22.14551867800278  9.777674670241606e+18  315.04844135632834  9.777674670241606e+18  0.0  20468.596371129333  0.0
194  41.50316325809856  1.0883823560343839e+19  376.9440629060353  1.0883823560343839e+19  0.0  28599.09205014244  0.0
195  40.94990907041932  1.0858526660599278e+19  375.62921372735434  1.0858526660599278e+19  0.0  28307.43072325717  0.0
196  29.78398983627293  1.0285943587946828e+19  344.6387859805837  1.0285943587946828e+19  0.0  30498.10435797314  0.0
197  29.639000120824594  1.0277361217704241e+19  344.15381848326285  1.0277361217704241e+19  0.0  30681.335325301916  0.0
198  26.254948546556616  1.0069850187018371e+19  332.3163960648018  1.0069850187018371e+19  0.0  30349.018793995372  0.0
199  39.58770234025726  1.079624135331796e+19  372.3918294648683  1.079624135331796e+19  0.0  28375.6632182315  0.0
200  28.74832186863981  1.0224639336682312e+19  341.1746416392741  1.0224639336682312e+19  0.0  30729.19541125755  0.0
201  29.947217708911385  1.0295605528675254e+19  345.18475720786495  1.0295605528675254e+19  0.0  30490.173646755666  0.0
202  41.54130136761718  1.0885567380733137e+19  377.03470092214747  1.0885567380733137e+19  0.0  29630.847919057407  0.0
203  30.913107034379685  1.0352019628506192e+19  348.36080334630606  1.0352019628506192e+19  0.0  30587.970460511708  0.0
204  31.119221156451058  1.0363091186968973e+19  348.9689411340589  1.0363091186968973e+19  0.0  30669.95147077881  0.0
205  19.35755379734465  9.52720451770004e+18  299.5714982507982  9.52720451770004e+18  0.0  27838.99713050333  0.0
206  19.725529778057837  9.566898970232687e+18  302.09200449777205  9.566898970232687e+18  0.0  27820.136362790094  0.0
207  43.194583256396534  1.096116175872671e+19  380.96384666021817  1.096116175872671e+19  0.0  30468.238754824597  0.0
208  21.82287501242154  9.753301475668206e+18  313.5894649651922  9.753301475668206e+18  0.0  28926.22799904204  0.0
209  27.551476753131304  1.0153794533155633e+19  337.1713854182788  1.0153794533155633e+19  0.0  30503.845634990772  0.0
210  45.76888826762112  1.1075205414277155e+19  386.8201642863197  1.1075205414277155e+19  0.0  30554.77174121737  0.0
211  47.707890776875736  1.1158038214294997e+19  391.0121622795819  1.1158038214294997e+19  0.0  31361.494249694642  0.0
212  49.65827366755457  1.124135717606567e+19  395.2287639213  1.124135717606567e+19  0.0  32094.75456789065  0.0
213  50.440374637727245  1.1274445236792404e+19  396.8966419414087  1.1274445236792404e+19  0.0  32360.570118951553  0.0
214  49.39712408532913  1.1230201052741446e+19  394.6641754179818  1.1230201052741446e+19  0.0  32529.27133783487  0.0
215  45.94116720480809  1.1082565047224087e+19  387.19262020400015  1.1082565047224087e+19  0.0  32293.192793804064  0.0
216  46.282451125148256  1.1097144452143841e+19  387.9304539625282  1.1097144452143841e+19  0.0  33081.424204846015  0.0
217  57.450055684774206  1.1554414336768072e+19  410.664895564944  1.1554414336768072e+19  0.0  34061.551857193226  0.0
218  52.246928998292354  1.134702125406644e+19  400.4749387913871  1.134702125406644e+19  0.0  32889.071871380926  0.0
219  43.43552933322208  1.0972178735886645e+19  381.53647269410214  1.0972178735886645e+19  0.0  32807.86077294009  0.0
220  49.59609178632734  1.1238700810585045e+19  395.0943307165581  1.1238700810585045e+19  0.0  33515.38250130819  0.0
221  44.10285835700181  1.1002691573904202e+19  383.1224290923852  1.1002691573904202e+19  0.0  32993.00994760782  0.0
222  31.607895565706563  1.0389340660983489e+19  350.4107704041232  1.0389340660983489e+19  0.0  30906.13636164384  0.0
223  45.04919689413419  1.1044460713674613e+19  385.26423809281255  1.1044460713674613e+19  0.0  30676.064282958647  0.0
224  31.20514866407202  1.036770684073702e+19  349.2224694409337  1.036770684073702e+19  0.0  30679.36587185731  0.0
225  32.50761440630089  1.0437669662623926e+19  353.0653824210968  1.0437669662623926e+19  0.0  30827.59853579777  0.0
226  31.26465726401678  1.0370903385140216e+19  349.3980490080152  1.0370903385140216e+19  0.0  30711.34970334485  0.0
227  32.964444868270455  1.0462208617628297e+19  354.4132564227826  1.0462208617628297e+19  0.0  31190.92208635533  0.0
228  41.73619210702897  1.0894478531531153e+19  377.49787306680497  1.0894478531531153e+19  0.0  32701.0442416373  0.0
229  30.57854613010742  1.0332975725855228e+19  347.2964501887653  1.0332975725855228e+19  0.0  30781.71053846185  0.0
230  31.917540517680344  1.0405973447490447e+19  351.3243749363588  1.0405973447490447e+19  0.0  30927.302001537595  0.0
231  34.83703267470144  1.0562643956453186e+19  359.9273799667947  1.0562643956453186e+19  0.0  31690.73032893393  0.0
232  31.08298307955594  1.0361144634336426e+19  348.8620210274018  1.0361144634336426e+19  0.0  30938.896973482893  0.0
233  32.85945269231106  1.0456568892399444e+19  354.10347799043825  1.0456568892399444e+19  0.0  31322.250769042053  0.0
234  28.747945902795337  1.0224617082151596e+19  341.1733840934261  1.0224617082151596e+19  0.0  30416.348138472647  0.0
235  26.24157275404775  1.006896450955502e+19  332.26489384156565  1.006896450955502e+19  0.0  29791.463019805946  0.0
236  25.774721568701754  1.0038051980572062e+19  330.4673275328921  1.0038051980572062e+19  0.0  29674.73983842723  0.0
237  28.456886629562533  1.0207388422603586e+19  340.1998371982185  1.0207388422603586e+19  0.0  30380.611036957293  0.0
238  31.079092378410333  1.0360935642711972e+19  348.8505415500922  1.0360935642711972e+19  0.0  30642.32305823259  0.0
239  31.147317042031776  1.0364600376327977e+19  349.0518377814614  1.0364600376327977e+19  0.0  30606.737937981354  0.0
240  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6677.927753652391  0.0
241  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9831.105671752333  0.0
242  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10196.341687581134  0.0
243  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9813.676339214038  0.0
244  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10352.92411797058  0.0
245  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10492.076128993634  0.0
246  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10422.501208048294  0.0
247  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10544.237436809473  0.0
248  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10748.497439619507  0.0
249  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10910.12035092521  0.0
250  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10855.573179077588  0.0
251  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11005.022008812248  0.0
252  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11073.611608088662  0.0
253  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11321.48788773475  0.0
254  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  10526.809188837367  0.0
255  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11182.899816510973  0.0
256  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11349.1688488255  0.0
257  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11278.27368553404  0.0
258  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11319.551515369923  0.0
259  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11401.946755669951  0.0
260  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11357.150558502586  0.0
261  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11141.430291080398  0.0
262  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11597.805339168443  0.0
263  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11542.100999164806  0.0
264  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11624.79368418487  0.0
